TEAM,DATE,LOCATION,ORPG,DRPG,TRPG,APG,SPG,BPG,TPG,PFPG,FG_PCT,X2P_PCT,X3P_PCT,FT_PCT,PPP,PAPP,WIN,LOSS,WIN_PCT,SOS,CONFERENCE,RESULT,OUTCOME,PROB,ELO_DIFF
Abilene Christian,2/27/2016,Home,-4.767142857,-1.467142857,-6.234285714,-0.02,-0.748571429,-0.215714286,-1.688571429,-0.14,0.036663522,0.049575415,0.034927647,0.020707763,0.030352439,0.022846049,3,0,0.068571429,-0.027242715,Southland,Win,Expected,0.077621155,15.08388876
Abilene Christian,3/3/2016,Home,0.917771883,-1.457559682,-0.539787798,-1.025198939,0.932360743,-0.128647215,0.24535809,2.9933687,0.019183667,0.023279902,-0.002812459,-0.049661109,0.010055704,0.038063379,-2,5,-0.128647215,-0.07186473,Southland,Loss,Expected,0.100849141,-56.81077013
Abilene Christian,11/17/2015,Home,16,29,45,23,14,2,12,23,0.506849315,0.551724138,0.333333333,0.714285714,1.214470284,0.813953488,1,0,1,-0.333333333,Southland,Win,Expected,0.007587313,14.92630082
Abilene Christian,2/21/2016,Home,-0.623076923,-0.836923077,-1.46,-0.381538462,1.213846154,0.216923077,-1.844615385,0.532307692,-0.001563081,-0.013920394,0.009012845,0.071968175,0.025355414,-0.027401251,4,-3,0.143076923,-0.107008941,Southland,Win,Expected,0.168329164,21.80240795
Abilene Christian,11/13/2015,Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southland,Win,Expected,0.785046959,0
Abilene Christian,12/3/2015,Home,2.333333333,-4.666666667,-2.333333333,1.666666667,5.333333333,1.833333333,2.5,9.166666667,-0.032918223,-0.057929202,-0.017407407,0.013664875,-0.072091452,0.010463645,-1,1,-0.166666667,0.727597859,Southland,Loss,Expected,0.044719388,-17.42609003
Abilene Christian,1/25/2016,Away,-2.502923977,-3.169590643,-5.67251462,-4.111111111,2.274853801,0.739766082,1.865497076,-2.374269006,0.015339871,-0.011275656,0.024082768,0.021882665,-0.063864659,0.024186377,-2,3,-0.134502924,-0.085743546,Southland,Loss,Expected,0.017620413,-72.32841947
Abilene Christian,1/19/2016,Home,-0.81512605,-0.970588235,-1.785714286,1.941176471,2.260504202,-2.24789916,-0.054621849,0.344537815,0.055900915,0.062759723,0.018967287,-0.008385721,0.082006654,-0.076351091,4,-1,0.197478992,-0.626487251,Southland,Win,Expected,0.043489347,46.52622478
Abilene Christian,1/23/2016,Away,1.976190476,-1.53968254,0.436507937,-2.198412698,-0.301587302,-0.222222222,1.119047619,2.515873016,0.01113481,0.01588848,-0.028596351,-0.020980654,-0.00376194,0.048377018,0,4,-0.126984127,-0.089751074,Southland,Loss,Expected,0.032380439,-57.69854008
Abilene Christian,1/2/2016,Away,0.384615385,1.607692308,1.992307692,1.353846154,2.176923077,-0.123076923,0.084615385,1.430769231,0.037993505,0.048199105,0.01884058,0.080882353,0.096497041,-0.157089547,4,-1,0.284615385,-0.423185881,Southland,Win,Expected,0.007463496,52.50131625
Abilene Christian,1/9/2016,Away,1.223809524,1.761904762,2.985714286,0.123809524,1.266666667,0.071428571,-1.028571429,2.414285714,0.059068563,0.033175501,0.066174851,0.062552583,0.125490753,-0.080612716,2,-3,0.161904762,-0.61800014,Southland,Loss,Expected,0.007368462,60.31778572
Abilene Christian,12/5/2015,Away,-1.535714286,-2,-3.535714286,1.107142857,1.035714286,0.142857143,-0.535714286,1.714285714,-0.012171501,-0.011127436,-0.022304236,0.005760369,-0.044308652,0.155667527,-2,1,-0.196428571,0.350886697,Southland,Loss,Expected,0.101650584,-56.6716548
Adams State,11/17/2015,Away,-11,-23,-34,-13,-4,0,-11,-20,-0.459016393,-0.487804878,-0.4,-0.6,-1.089552239,-1.044776119,-1,0,-1,0,NA,Loss,Expected,0.146960673,-7.779039646
Adams State,11/20/2015,Away,-10,-20.5,-30.5,2.5,1,-4,-6,-1.5,0.05352364,0.111111111,-0.005797101,-0.113095238,-0.001991947,0.381784458,-1,0,-0.5,0.333333333,NA,Loss,Expected,0.008553305,-20.91311924
Air Force,1/30/2016,Away,-1.580952381,0.469047619,-1.111904762,-1.678571429,0.061904762,-2.154761905,-1.354761905,-3.197619048,-0.02014108,-0.055284643,0.016249191,0.021008403,-0.035204126,-0.007603725,3,-4,0.164285714,0.010274408,Mountain West,Loss,Expected,0.003456288,8.03780434
Air Force,12/2/2015,Home,0.833333333,2.119047619,2.952380952,-5.738095238,-3.880952381,-2.261904762,-3.285714286,-4.5,-0.062873623,-0.107869776,-0.095005659,-0.102941176,-0.139217293,-0.107500405,-1,0,-0.047619048,0.266379753,Mountain West,Win,Upset,0.109037172,-2.485001895
Air Force,1/20/2016,Home,-2.781045752,-0.656862745,-3.437908497,-0.405228758,2.522875817,-0.45751634,0.866013072,-0.251633987,-0.015259932,-0.015109633,-0.059972253,-0.064180091,-0.148329447,-0.050090004,-1,0,-0.026143791,-0.019650551,Mountain West,Loss,Expected,0.098944375,-41.04663067
Air Force,3/1/2016,Home,-1.642857143,1.152116402,-0.490740741,-1.333333333,0.294973545,-0.952380952,0.646825397,1.51984127,-0.025951992,-0.037986753,-0.024691151,-0.005701391,-0.086568476,-0.008573671,-1,2,-0.054232804,-0.062621369,Mountain West,Loss,Expected,0.027306251,-37.2803321
Air Force,1/12/2016,Away,-1.533333333,1.866666667,0.333333333,-1.133333333,0.4,-1,1,1.6,-0.011007466,-0.020246003,-0.02966856,-0.002993113,-0.056785751,-0.020461385,0,0,0,-0.038475376,Mountain West,Loss,Expected,0.005526909,-6.737915371
Air Force,3/5/2016,Away,-3.656321839,-1.17816092,-4.834482759,-0.06091954,2.268965517,-0.475862069,1.185057471,-0.412643678,-0.001223443,-0.001880622,-0.029262087,-0.030041447,-0.123760038,-0.039782437,-2,1,-0.051724138,0.010059514,Mountain West,Loss,Expected,0.024174573,-49.98600392
