Date,Away,Home,Probability,Prediciton
11/29/2015,South Carolina State,Kansas State *,19.50%,Expected
11/29/2015,South Dakota,Eastern Washington *,27.70%,Expected
11/29/2015,Southern California *,Monmouth,0.40%,Expected
11/29/2015,St. Francis (NY),Hartford *,27.60%,Expected
11/29/2015,Stephen F. Austin *,Appalachian State,17.40%,Expected
11/29/2015,Texas-Arlington *,Rice,1.80%,Expected
11/29/2015,Texas-Permian Basin *,Texas-San Antonio,3.90%,Expected
11/29/2015,Tulane *,Liberty,55.30%,Upset
11/29/2015,Urbana *,Bowling Green State,0.10%,Expected
11/29/2015,Utah State *,Duke,0.00%,Expected
11/29/2015,Western Michigan,Mercer *,21.60%,Expected
11/29/2015,Wichita State,Iowa *,2.10%,Expected
11/29/2015,Wiley,Sam Houston State *,16.80%,Expected
11/29/2015,Wisconsin,Oklahoma *,5.50%,Expected
11/29/2015,Xavier *,Dayton,75.40%,Upset
11/29/2015,Yale *,Albany (NY),0.00%,Expected
11/30/2015,Alcorn State,Indiana *,2.50%,Expected
11/30/2015,Bryant,New Hampshire *,16.70%,Expected
11/30/2015,Central Pennsylvania College,Howard *,17.40%,Expected
11/30/2015,Chattanooga *,Louisiana-Monroe,0.40%,Expected
11/30/2015,Clemson *,Minnesota,0.60%,Expected
11/30/2015,Fairleigh Dickinson,Princeton *,4.60%,Expected
11/30/2015,Fresno State,Oregon *,2.70%,Expected
11/30/2015,Green Bay *,Southern Illinois-Edwardsville,7.80%,Expected
11/30/2015,Hampton,Grand Canyon *,11.40%,Expected
11/30/2015,Holy Names,Nevada *,0.50%,Expected
11/30/2015,Illinois State,Kentucky *,27.90%,Expected
11/30/2015,James Madison *,Radford,7.30%,Expected
11/30/2015,Kennesaw State,Elon *,15.30%,Expected
11/30/2015,Louisiana State,College of Charleston *,1.10%,Expected
11/30/2015,McNeese State,Central Michigan *,9.40%,Expected
11/30/2015,Norfolk State,Northern Arizona *,18.40%,Expected
11/30/2015,North Texas,Northern Iowa *,2.20%,Expected
11/30/2015,Northern Kentucky *,North Carolina A&T,0.20%,Expected
11/30/2015,Paul Quinn,Southern *,0.70%,Expected
11/30/2015,Spring Hill *,South Alabama,0.20%,Expected
11/30/2015,Stetson,Florida International *,53.20%,Upset
11/30/2015,Texas-Rio Grande Valley,Houston *,33.00%,Expected
11/30/2015,Toccoa Falls *,South Carolina Upstate,0.00%,Expected
11/30/2015,Trinity Baptist,North Florida *,55.00%,Upset
11/30/2015,Virginia Military Institute,Campbell *,11.60%,Expected
11/30/2015,Wake Forest *,Rutgers,3.40%,Expected
11/30/2015,Western Carolina,South Carolina *,5.50%,Expected
12/1/2015,Alabama State,Evansville *,1.40%,Expected
12/1/2015,Albany (NY) *,Quinnipiac,3.90%,Expected
12/1/2015,Albion *,Wright State,0.90%,Expected
12/1/2015,American *,Mount St. Mary's,0.00%,Expected
12/1/2015,Arkansas State *,Missouri,0.90%,Expected
12/1/2015,Bradley,Delaware *,2.60%,Expected
12/1/2015,Cal State Dominguez Hills,Cal State Fullerton *,1.90%,Expected
12/1/2015,Central Arkansas,Arkansas-Little Rock *,68.00%,Upset
12/1/2015,Colgate *,Binghamton,0.10%,Expected
12/1/2015,Davidson *,Charlotte,7.00%,Expected
12/1/2015,Eastern Kentucky *,Western Kentucky,1.10%,Expected
12/1/2015,Eastern Michigan *,Nebraska-Omaha,5.70%,Expected
12/1/2015,Eastern Washington *,San Francisco,11.40%,Expected
12/1/2015,Fairfield *,Iona,0.10%,Expected
12/1/2015,Florida Atlantic,East Carolina *,1.60%,Expected
12/1/2015,Georgia State *,Alabama-Birmingham,0.70%,Expected
12/1/2015,Indiana State *,Eastern Illinois,0.10%,Expected
12/1/2015,IUPUI,Ball State *,35.10%,Expected
12/1/2015,Lipscomb,Belmont *,1.70%,Expected
12/1/2015,Louisiana College *,Nicholls State,0.30%,Expected
12/1/2015,Louisiana Tech *,Memphis,0.00%,Expected
12/1/2015,Loyola (LA) *,Southeastern Louisiana,0.20%,Expected
12/1/2015,Loyola (MD),Kansas *,5.30%,Expected
12/1/2015,Marshall,Ohio *,14.40%,Expected
12/1/2015,Maryland *,North Carolina,1.50%,Expected
12/1/2015,Maryland-Eastern Shore,Georgetown *,4.70%,Expected
12/1/2015,Miami (FL) *,Nebraska,5.50%,Expected
12/1/2015,Michigan *,North Carolina State,8.20%,Expected
12/1/2015,Mississippi Valley State,Duquesne *,55.40%,Upset
12/1/2015,Montana State *,Utah Valley,5.30%,Expected
12/1/2015,North Dakota State,Iowa State *,2.40%,Expected
12/1/2015,Northwestern *,Virginia Tech,3.30%,Expected
12/1/2015,Northwestern State,Arkansas *,0.30%,Expected
12/1/2015,Oakland *,Georgia,1.00%,Expected
12/1/2015,Old Dominion,William & Mary *,7.30%,Expected
12/1/2015,Oral Roberts *,New Mexico,0.70%,Expected
12/1/2015,Pacific Union,Weber State *,0.60%,Expected
12/1/2015,Piedmont,Furman *,0.20%,Expected
12/1/2015,Purdue *,Pittsburgh,13.00%,Expected
12/1/2015,Richmond,Florida *,2.40%,Expected
12/1/2015,Samford *,Jacksonville State,2.30%,Expected
12/1/2015,San Diego State *,Long Beach State,3.70%,Expected
12/1/2015,Siena *,Cornell,1.00%,Expected
12/1/2015,Southern Mississippi,Troy *,17.70%,Expected
12/1/2015,Tennessee-Martin,Missouri-Kansas City *,18.80%,Expected
12/1/2015,Texas-Arlington *,Texas,0.20%,Expected
12/1/2015,Utah State *,Missouri State,0.20%,Expected
12/1/2015,Villanova *,Saint Joseph's,3.20%,Expected
12/1/2015,Virginia *,Ohio State,0.70%,Expected
12/1/2015,Waldorf *,North Dakota,0.40%,Expected
12/1/2015,Wofford,Georgia Tech *,2.90%,Expected
12/2/2015,Antelope Valley,San Jose State *,2.60%,Expected
12/2/2015,Arizona State,Creighton *,20.90%,Expected
12/2/2015,Arkansas-Pine Bluff,Hawaii *,4.40%,Expected
12/2/2015,Army *,Maine,2.70%,Expected
12/2/2015,Auburn,Coastal Carolina *,4.80%,Expected
12/2/2015,Austin Peay,Texas A&M-Corpus Christi *,3.80%,Expected
12/2/2015,Boston University,Massachusetts *,0.40%,Expected
12/2/2015,Brigham Young *,Utah,0.60%,Expected
12/2/2015,Bryant,Yale *,0.30%,Expected
12/2/2015,Butler,Cincinnati *,25.70%,Expected
12/2/2015,Cal State Bakersfield *,Idaho,2.80%,Expected
12/2/2015,Central Connecticut State,Brown *,1.30%,Expected
12/2/2015,Central Florida *,Stetson,13.40%,Expected
12/2/2015,Central Pennsylvania College,Virginia Military Institute *,0.70%,Expected
12/2/2015,Chicago State,Northern Illinois *,3.30%,Expected
12/2/2015,Citadel *,Air Force,2.90%,Expected
12/2/2015,Cleveland State,Toledo *,15.00%,Expected
12/2/2015,Coker,North Carolina-Wilmington *,21.80%,Expected
12/2/2015,Columbia,Bucknell *,21.80%,Expected
12/2/2015,Coppin State,Akron *,29.20%,Expected
12/2/2015,DePaul,Illinois-Chicago *,65.40%,Upset
12/2/2015,Detroit Mercy,Vanderbilt *,0.20%,Expected
12/2/2015,East Tennessee State,Tennessee Tech *,20.00%,Expected
12/2/2015,Fairleigh Dickinson,Temple *,2.90%,Expected
12/2/2015,Fisk,Jackson State *,0.30%,Expected
12/2/2015,Florida A&M *,Kennesaw State,0.10%,Expected
12/2/2015,Florida Gulf Coast,Texas A&M *,6.70%,Expected
12/2/2015,Florida Memorial *,Jacksonville,1.60%,Expected
12/2/2015,Florida State,Iowa *,3.30%,Expected
12/2/2015,Fort Lewis,Colorado *,7.60%,Expected
12/2/2015,Gardner-Webb,Presbyterian *,38.20%,Expected
12/2/2015,George Mason,Towson *,0.60%,Expected
12/2/2015,Georgia Southern *,Savannah State,0.40%,Expected
12/2/2015,Gonzaga *,Washington State,14.00%,Expected
12/2/2015,Grambling *,Marquette,0.00%,Expected
12/2/2015,Hampton *,Northern Arizona,4.30%,Expected
12/2/2015,Hartford,Providence *,3.40%,Expected
12/2/2015,Harvard,Northeastern *,8.40%,Expected
12/2/2015,Hiwassee,Mercer *,11.00%,Expected
12/2/2015,Hofstra,La Salle *,14.80%,Expected
12/2/2015,Holy Cross,Rhode Island *,1.90%,Expected
12/2/2015,Indiana,Duke *,0.50%,Expected
12/2/2015,Lehigh,Saint Francis (PA) *,12.50%,Expected
12/2/2015,Longwood,High Point *,1.00%,Expected
12/2/2015,Louisville,Michigan State *,2.40%,Expected
12/2/2015,Loyola Marymount *,Oregon State,1.60%,Expected
12/2/2015,Maryland-Baltimore County,Bowling Green State *,34.90%,Expected
12/2/2015,Mercy *,Norfolk State,3.50%,Expected
12/2/2015,Morehead State *,Saint Louis,13.60%,Expected
12/2/2015,Morgan State,Wagner *,17.60%,Expected
12/2/2015,Murray State,Houston *,5.30%,Expected
12/2/2015,Navy *,Pennsylvania,3.00%,Expected
12/2/2015,New Orleans,Tulane *,8.80%,Expected
12/2/2015,North Carolina-Greensboro *,North Carolina A&T,0.10%,Expected
12/2/2015,North Florida *,Louisiana State,0.30%,Expected
12/2/2015,Notre Dame *,Illinois,1.80%,Expected
12/2/2015,Penn State *,Boston College,10.20%,Expected
12/2/2015,Portland,Portland State *,25.00%,Expected
12/2/2015,Prairie View,Baylor *,7.20%,Expected
12/2/2015,Rice,Houston Baptist *,3.30%,Expected
12/2/2015,Robert Morris,Youngstown State *,14.10%,Expected
12/2/2015,Sacred Heart,Connecticut *,1.20%,Expected
12/2/2015,Saint Peter's *,Rider,10.00%,Expected
12/2/2015,Sam Houston State,Texas Tech *,3.10%,Expected
12/2/2015,Seton Hall,George Washington *,1.90%,Expected
12/2/2015,Silver Lake,Western Illinois *,2.80%,Expected
12/2/2015,South Carolina Upstate,Clemson *,8.00%,Expected
12/2/2015,Southeast Missouri State,Southern Illinois *,15.40%,Expected
12/2/2015,Southern Methodist *,Texas Christian,1.50%,Expected
12/2/2015,St. Bonaventure,Buffalo *,13.20%,Expected
12/2/2015,St. Francis (NY) *,Lafayette,8.60%,Expected
12/2/2015,St. John's (NY),Fordham *,3.80%,Expected
12/2/2015,Texas-El Paso *,New Mexico State,0.20%,Expected
12/2/2015,Texas-Rio Grande Valley,Lamar *,0.80%,Expected
12/2/2015,Texas-San Antonio,Texas State *,6.50%,Expected
12/2/2015,Texas Southern,Mississippi State *,6.20%,Expected
12/2/2015,Tulsa,Oklahoma State *,41.50%,Upset
12/2/2015,Vermont *,Dartmouth,7.20%,Expected
12/2/2015,Virginia Commonwealth *,Middle Tennessee,10.50%,Expected
12/2/2015,Wayne State (NE),South Dakota State *,9.90%,Expected
12/2/2015,Willamette,Boise State *,0.00%,Expected
12/2/2015,Winthrop *,Charleston Southern,0.50%,Expected
12/2/2015,Wisconsin,Syracuse *,54.50%,Upset
12/2/2015,Wyoming,Denver *,51.20%,Upset
12/3/2015,Auburn Montgomery *,Alabama State,7.90%,Expected
12/3/2015,Belmont,Valparaiso *,9.10%,Expected
12/3/2015,Central Arkansas,Oklahoma *,2.50%,Expected
12/3/2015,Central Michigan,Grand Canyon *,50.70%,Upset
12/3/2015,Dallas Christian *,Incarnate Word,0.10%,Expected
12/3/2015,IPFW *,Cal Poly,7.00%,Expected
12/3/2015,Kentucky *,UCLA,0.10%,Expected
12/3/2015,Kentucky Christian *,Wofford,0.60%,Expected
12/3/2015,La Verne *,Southern Utah,0.10%,Expected
12/3/2015,Liberty,Radford *,6.00%,Expected
12/3/2015,Long Beach State,Colorado State *,51.60%,Upset
12/3/2015,Louisiana-Lafayette,Louisiana-Monroe *,2.00%,Expected
12/3/2015,Massachusetts-Lowell *,Long Island University,0.80%,Expected
12/3/2015,Master's,Fresno State *,24.90%,Expected
12/3/2015,Mississippi Valley State,North Carolina Central *,11.30%,Expected
12/3/2015,New Hampshire *,Abilene Christian,7.30%,Expected
12/3/2015,North Texas,Texas-Arlington *,1.80%,Expected
12/3/2015,South Florida,Delaware *,8.40%,Expected
12/3/2015,Southern Illinois-Edwardsville,Milwaukee *,16.40%,Expected
12/3/2015,Trinity Baptist *,Bethune-Cookman,0.30%,Expected
12/3/2015,Warren Wilson *,Western Carolina,0.00%,Expected
12/3/2015,Western Michigan,James Madison *,5.10%,Expected
12/4/2015,Akron *,Marshall,0.20%,Expected
12/4/2015,Alabama *,Southern Mississippi,0.50%,Expected
12/4/2015,American,Youngstown State *,44.60%,Upset
12/4/2015,Arkansas,Wake Forest *,4.00%,Expected
12/4/2015,Cal State Fullerton *,Seattle,1.50%,Expected
12/4/2015,Delaware State,Old Dominion *,0.30%,Expected
12/4/2015,Elon,Florida International *,14.20%,Expected
12/4/2015,Georgia State *,Wright State,10.80%,Expected
12/4/2015,Iona *,Marist,55.80%,Upset
12/4/2015,Jackson State,Louisiana Tech *,16.10%,Expected
12/4/2015,Kansas State *,Georgia,1.50%,Expected
12/4/2015,Manhattan,Siena *,0.80%,Expected
12/4/2015,Monmouth *,Canisius,0.40%,Expected
12/4/2015,North Dakota State *,Arkansas State,2.00%,Expected
12/4/2015,Northern Illinois *,Missouri,0.10%,Expected
12/4/2015,Oregon,Nevada-Las Vegas *,2.10%,Expected
12/4/2015,Pittsburgh,Duquesne *,59.40%,Upset
12/4/2015,Quinnipiac *,Niagara,0.80%,Expected
12/4/2015,Rider,Fairfield *,16.40%,Expected
12/4/2015,Saint Francis (PA),Maryland *,0.20%,Expected
12/4/2015,Saint Joseph's,Columbia *,10.20%,Expected
12/4/2015,Samford *,Texas,0.50%,Expected
12/4/2015,San Francisco *,Montana,0.00%,Expected
12/4/2015,South Carolina Upstate,East Carolina *,18.80%,Expected
12/4/2015,Southern *,Southeastern Louisiana,0.60%,Expected
12/5/2015,Abilene Christian,Nebraska *,10.20%,Expected
12/5/2015,Air Force,Denver *,8.00%,Expected
12/5/2015,Alabama-Birmingham *,Illinois State,7.10%,Expected
12/5/2015,Albany (NY) *,Holy Cross,1.40%,Expected
12/5/2015,Alcorn State,Mercer *,39.00%,Expected
12/5/2015,Arizona,Gonzaga *,16.10%,Expected
12/5/2015,Arkansas-Little Rock *,Idaho,2.20%,Expected
12/5/2015,Arkansas-Pine Bluff,Virginia Tech *,1.00%,Expected
12/5/2015,Austin Peay,Troy *,33.30%,Expected
12/5/2015,Binghamton,Michigan State *,1.70%,Expected
12/5/2015,Boise State *,Portland,13.90%,Expected
12/5/2015,Brown *,Bryant,3.50%,Expected
12/5/2015,Bucknell,North Carolina State *,1.50%,Expected
12/5/2015,Buffalo,Duke *,1.50%,Expected
12/5/2015,Central Connecticut State,Fordham *,9.10%,Expected
12/5/2015,Charleston Southern,Liberty *,21.10%,Expected
12/5/2015,Charlotte,Miami (FL) *,26.30%,Expected
12/5/2015,Chicago State,DePaul *,0.20%,Expected
12/5/2015,Colgate,Texas Christian *,0.50%,Expected
12/5/2015,College of Charleston *,Citadel,6.00%,Expected
12/5/2015,Creighton *,Loyola (IL),0.90%,Expected
12/5/2015,Drake *,Bowling Green State,1.10%,Expected
12/5/2015,Drexel,La Salle *,89.70%,Upset
12/5/2015,Eastern Kentucky *,Savannah State,1.00%,Expected
12/5/2015,Eastern Michigan *,Penn State,0.30%,Expected
12/5/2015,Evansville *,Murray State,2.10%,Expected
12/5/2015,Fresno State *,Cal Poly,0.40%,Expected
12/5/2015,Georgia Tech *,Tulane,8.10%,Expected
12/5/2015,Grand Canyon,Louisville *,0.00%,Expected
12/5/2015,Hampton *,Coppin State,1.80%,Expected
12/5/2015,Hartford,Dartmouth *,3.00%,Expected
12/5/2015,Harvard,Kansas *,39.60%,Expected
12/5/2015,High Point *,Gardner-Webb,0.90%,Expected
12/5/2015,Houston Baptist,Michigan *,4.70%,Expected
12/5/2015,Howard *,North Carolina A&T,0.10%,Expected
12/5/2015,Idaho State,Lamar *,4.00%,Expected
12/5/2015,Illinois-Chicago,Central Florida *,0.70%,Expected
12/5/2015,Indiana State,Butler *,7.00%,Expected
12/5/2015,IPFW *,Utah,0.60%,Expected
12/5/2015,Jacksonville *,Jacksonville State,4.70%,Expected
12/5/2015,Kennesaw State,West Virginia *,15.00%,Expected
12/5/2015,Kent State *,Cleveland State,1.20%,Expected
12/5/2015,Lafayette,Cornell *,2.00%,Expected
12/5/2015,Loyola (LA),Nicholls State *,10.10%,Expected
12/5/2015,Loyola (MD) *,Mount St. Mary's,0.40%,Expected
12/5/2015,Maine,Marquette *,0.30%,Expected
12/5/2015,Maryland-Baltimore County,Longwood *,59.20%,Upset
12/5/2015,Maryland-Eastern Shore,North Carolina Central *,7.70%,Expected
12/5/2015,Massachusetts-Lowell,NJIT *,2.00%,Expected
12/5/2015,Miami (OH) *,IUPUI,0.30%,Expected
12/5/2015,Mississippi,Massachusetts *,28.00%,Expected
12/5/2015,Missouri-Kansas City,Iowa *,1.20%,Expected
12/5/2015,Missouri State,Oklahoma State *,54.60%,Upset
12/5/2015,Morehead State *,Indiana,0.00%,Expected
12/5/2015,Nevada *,Oregon State,2.30%,Expected
12/5/2015,New Hampshire,Southern Methodist *,0.00%,Expected
12/5/2015,New Mexico,Purdue *,6.20%,Expected
12/5/2015,New Mexico State *,Long Beach State,0.10%,Expected
12/5/2015,New Orleans,Ball State *,6.50%,Expected
12/5/2015,North Dakota *,Bradley,1.40%,Expected
12/5/2015,North Florida *,Dayton,0.90%,Expected
12/5/2015,Northeastern *,Detroit Mercy,0.50%,Expected
12/5/2015,Northern Arizona,Cal State Bakersfield *,2.10%,Expected
12/5/2015,Northern Iowa *,Richmond,0.10%,Expected
12/5/2015,Northern Kentucky *,Eastern Illinois,1.70%,Expected
12/5/2015,Oakland *,Robert Morris,2.70%,Expected
12/5/2015,Ohio *,St. Bonaventure,0.60%,Expected
12/5/2015,Oral Roberts *,Tulsa,4.70%,Expected
12/5/2015,Pennsylvania *,George Mason,0.30%,Expected
12/5/2015,Pepperdine *,Cal State Northridge,8.20%,Expected
12/5/2015,Presbyterian,Winthrop *,18.90%,Expected
12/5/2015,Princeton,Stony Brook *,0.30%,Expected
12/5/2015,Providence *,Rhode Island,4.90%,Expected
12/5/2015,Quinnipiac,Canisius *,11.60%,Expected
12/5/2015,Rochester (MI) *,Lehigh,0.00%,Expected
12/5/2015,Sacred Heart,Towson *,3.10%,Expected
12/5/2015,San Jose State *,Santa Clara,0.70%,Expected
12/5/2015,Seton Hall *,Rutgers,30.00%,Expected
12/5/2015,South Alabama,Middle Tennessee *,2.40%,Expected
12/5/2015,South Carolina State *,Florida A&M,7.70%,Expected
12/5/2015,South Dakota *,Minnesota,10.40%,Expected
12/5/2015,South Florida,South Carolina *,31.50%,Expected
12/5/2015,Southeast Missouri State,Memphis *,31.60%,Expected
12/5/2015,Southern Illinois *,North Texas,22.00%,Expected
12/5/2015,Southern Illinois-Edwardsville,Northwestern *,8.60%,Expected
12/5/2015,Southern Utah *,Utah Valley,33.20%,Expected
12/5/2015,Stetson,Tennessee State *,3.80%,Expected
12/5/2015,Syracuse *,Georgetown,0.70%,Expected
12/5/2015,Temple,Wisconsin *,1.80%,Expected
12/5/2015,Tennessee Tech *,Lipscomb,1.00%,Expected
12/5/2015,Texas-Arlington,Texas-El Paso *,32.80%,Expected
12/5/2015,Texas A&M *,Arizona State,0.20%,Expected
12/5/2015,Texas Southern,Stephen F. Austin *,16.90%,Expected
12/5/2015,Texas State,Texas A&M-Corpus Christi *,1.40%,Expected
12/5/2015,Vermont,Yale *,1.00%,Expected
12/5/2015,Virginia Military Institute *,Ohio State,0.10%,Expected
12/5/2015,Weber State *,Brigham Young,2.20%,Expected
12/5/2015,Western Carolina *,Illinois,0.50%,Expected
12/5/2015,Western Kentucky,Xavier *,1.10%,Expected
12/5/2015,Wichita State,Saint Louis *,57.50%,Upset
12/5/2015,William & Mary,Virginia *,2.10%,Expected
12/6/2015,American,Wagner *,14.90%,Expected
12/6/2015,Appalachian State,Hofstra *,34.20%,Expected
12/6/2015,Cal State Fullerton *,Washington,0.20%,Expected
12/6/2015,Central Arkansas,Pittsburgh *,0.50%,Expected
12/6/2015,Colorado *,Colorado State,5.70%,Expected
12/6/2015,Davidson,North Carolina *,0.10%,Expected
12/6/2015,Delaware,Columbia *,1.00%,Expected
12/6/2015,Florida Gulf Coast *,Florida International,10.20%,Expected
12/6/2015,Great Falls,Eastern Washington *,0.50%,Expected
12/6/2015,Long Beach State,UCLA *,3.60%,Expected
12/6/2015,Marist,Manhattan *,7.80%,Expected
12/6/2015,Marshall,James Madison *,9.90%,Expected
12/6/2015,Massachusetts-Lowell *,Boston College,3.90%,Expected
12/6/2015,Mississippi Valley State,Seattle *,9.50%,Expected
12/6/2015,Monmouth *,Niagara,5.10%,Expected
12/6/2015,Morgan State,Cincinnati *,23.20%,Expected
12/6/2015,Nebraska-Omaha *,Montana State,4.70%,Expected
12/6/2015,North Dakota State *,Southern Mississippi,0.00%,Expected
12/6/2015,Portland State *,Washington State,0.50%,Expected
12/6/2015,Radford,Coastal Carolina *,3.30%,Expected
12/6/2015,San Diego State *,San Diego,0.60%,Expected
12/6/2015,Siena *,Saint Peter's,0.90%,Expected
12/6/2015,St. Francis (NY) *,St. John's (NY),3.20%,Expected
12/6/2015,Sul Ross State *,Sam Houston State,0.00%,Expected
12/6/2015,Toledo *,Green Bay,2.90%,Expected
12/6/2015,Vanderbilt *,Baylor,2.30%,Expected
12/6/2015,Virginia Commonwealth,Florida State *,4.00%,Expected
12/6/2015,Wofford,Clemson *,5.50%,Expected
12/7/2015,Aquinas *,Central Michigan,0.10%,Expected
12/7/2015,Belmont *,Lipscomb,3.70%,Expected
12/7/2015,Binghamton,Oakland *,17.60%,Expected
12/7/2015,Biola,San Diego State *,2.30%,Expected
12/7/2015,Brown,Georgetown *,1.90%,Expected
12/7/2015,Buffalo,Iowa State *,7.10%,Expected
12/7/2015,Cal State Northridge,San Francisco *,10.10%,Expected
12/7/2015,East Carolina,College of Charleston *,3.60%,Expected
12/7/2015,Howard *,North Carolina Central,1.70%,Expected
12/7/2015,Idaho,Southern California *,1.60%,Expected
12/7/2015,Incarnate Word,Sacramento State *,26.80%,Expected
12/7/2015,IUPUI,Purdue *,13.60%,Expected
12/7/2015,Kent State,NJIT *,8.30%,Expected
12/7/2015,Maryland-Eastern Shore,North Carolina A&T *,4.80%,Expected
12/7/2015,Montreat *,Presbyterian,2.00%,Expected
12/7/2015,Norfolk State *,Coppin State,57.90%,Upset
12/7/2015,Northeastern *,Western Michigan,1.00%,Expected
12/7/2015,Oklahoma,Villanova *,63.40%,Upset
12/7/2015,Oregon,Navy *,59.60%,Upset
12/7/2015,South Carolina State *,Bethune-Cookman,0.30%,Expected
12/7/2015,Virginia Military Institute,Butler *,2.10%,Expected
12/7/2015,Western Illinois,Iowa *,0.00%,Expected
12/8/2015,Air Force *,Ohio State,0.10%,Expected
12/8/2015,Army *,Bryant,0.90%,Expected
12/8/2015,Bowling Green State *,Southeast Missouri State,2.90%,Expected
12/8/2015,Bradley,Texas-Arlington *,7.30%,Expected
12/8/2015,Bucknell *,Mount St. Mary's,0.50%,Expected
12/8/2015,Central Connecticut State,Rutgers *,3.40%,Expected
12/8/2015,Colgate,Syracuse *,2.00%,Expected
12/8/2015,Evansville *,Arkansas,0.20%,Expected
12/8/2015,Florida,Miami (FL) *,1.30%,Expected
12/8/2015,Harvard,Boston University *,10.40%,Expected
12/8/2015,Hawaii-Hilo,Hawaii *,19.30%,Expected
12/8/2015,Houston *,Rhode Island,0.20%,Expected
12/8/2015,Idaho State,Portland *,18.70%,Expected
12/8/2015,Iona *,Tulsa,1.20%,Expected
12/8/2015,Liberty,Furman *,1.70%,Expected
12/8/2015,Long Island University,Fordham *,18.50%,Expected
12/8/2015,Louisiana State-Shreveport,Louisiana Tech *,3.70%,Expected
12/8/2015,Maryland *,Connecticut,19.20%,Expected
12/8/2015,Maryland-Baltimore County,Duquesne *,10.50%,Expected
12/8/2015,Massachusetts *,Central Florida,2.00%,Expected
12/8/2015,Michigan,Southern Methodist *,0.90%,Expected
12/8/2015,Missouri-Kansas City,South Dakota *,2.20%,Expected
12/8/2015,Montana,Gonzaga *,21.80%,Expected
12/8/2015,Northern Iowa *,George Mason,2.20%,Expected
12/8/2015,Northwestern State,Baylor *,67.90%,Upset
12/8/2015,Penn State,George Washington *,4.50%,Expected
12/8/2015,Princeton *,Saint Joseph's,0.20%,Expected
12/8/2015,Rochester (MI),Eastern Michigan *,7.40%,Expected
12/8/2015,San Jose State,Marquette *,2.40%,Expected
12/8/2015,South Dakota State *,Minnesota,2.60%,Expected
12/8/2015,Southern *,Grand Canyon,0.90%,Expected
12/8/2015,Stony Brook *,Notre Dame,0.10%,Expected
12/8/2015,Tennessee Wesleyan,Chattanooga *,3.20%,Expected
12/8/2015,Texas-San Antonio,Texas *,0.00%,Expected
12/8/2015,Texas Christian,Washington *,0.50%,Expected
12/8/2015,Towson *,Loyola (MD),0.90%,Expected
12/8/2015,Vermont,St. Bonaventure *,3.10%,Expected
12/8/2015,Voorhees,Citadel *,52.70%,Upset
12/8/2015,Wagner *,Rider,0.30%,Expected
12/8/2015,West Virginia *,Virginia,0.60%,Expected
12/8/2015,Winthrop *,Georgia,0.30%,Expected
12/8/2015,Worcester State,New Hampshire *,0.30%,Expected
12/8/2015,Wright State,Xavier *,3.10%,Expected
12/9/2015,Albany (NY) *,Marist,4.20%,Expected
12/9/2015,Arkansas-Fort Smith,Colorado State *,1.20%,Expected
12/9/2015,Boston College,Providence *,12.50%,Expected
12/9/2015,Campbell *,Charlotte,0.20%,Expected
12/9/2015,Columbia *,Manhattan,0.20%,Expected
12/9/2015,Coppin State,Kansas State *,9.80%,Expected
12/9/2015,Dartmouth *,Maine,5.60%,Expected
12/9/2015,Dayton,Vanderbilt *,23.10%,Expected
12/9/2015,Denver *,San Diego,4.90%,Expected
12/9/2015,DePaul *,Drake,6.10%,Expected
12/9/2015,Eastern Illinois *,Marshall,0.70%,Expected
12/9/2015,Eastern Kentucky,Kentucky *,0.70%,Expected
12/9/2015,Eastern Washington *,Davidson,1.80%,Expected
12/9/2015,Fairleigh Dickinson *,Lafayette,3.60%,Expected
12/9/2015,Fresno Pacific,Nevada *,0.50%,Expected
12/9/2015,Fresno State,Arizona *,2.10%,Expected
12/9/2015,Hofstra *,Siena,0.60%,Expected
12/9/2015,Holy Cross,Kansas *,3.50%,Expected
12/9/2015,Howard,Purdue *,0.50%,Expected
12/9/2015,IPFW,Indiana *,0.50%,Expected
12/9/2015,John Brown,Oral Roberts *,1.10%,Expected
12/9/2015,Long Beach State,Pepperdine *,7.40%,Expected
12/9/2015,Loyola Marymount,Boise State *,6.10%,Expected
12/9/2015,Maryland-Eastern Shore,Michigan State *,11.00%,Expected
12/9/2015,McNeese State,Louisiana-Lafayette *,0.40%,Expected
12/9/2015,Milwaukee *,Wisconsin,5.00%,Expected
12/9/2015,Nebraska,Creighton *,0.70%,Expected
12/9/2015,Nebraska-Omaha *,Missouri,1.20%,Expected
12/9/2015,Nevada-Las Vegas *,Wichita State,0.20%,Expected
12/9/2015,Niagara,St. John's (NY) *,15.40%,Expected
12/9/2015,North Carolina-Greensboro,High Point *,3.70%,Expected
12/9/2015,North Carolina Wesleyan,Coastal Carolina *,4.80%,Expected
12/9/2015,Quinnipiac *,Hartford,1.60%,Expected
12/9/2015,Southern Illinois-Edwardsville,Southern Illinois *,87.40%,Upset
12/9/2015,Temple,Pennsylvania *,10.00%,Expected
12/9/2015,Tennessee-Martin,Texas Tech *,6.40%,Expected
12/9/2015,Toledo *,Detroit Mercy,0.70%,Expected
12/9/2015,Utah State,Brigham Young *,1.40%,Expected
12/9/2015,Valparaiso *,Indiana State,1.00%,Expected
12/9/2015,Virginia Tech *,Radford,7.70%,Expected
12/9/2015,Weber State *,Utah Valley,0.20%,Expected
12/9/2015,Yale *,Illinois,0.80%,Expected
