"SEASON","TEAM_CONF","OPP_CONF","EXPECTED","UPSET","TOTAL","PERCENT"
"2016","Southern","ACC",9,1,10,0.1
"2016","Southern","Atlantic 10",5,0,5,0
"2016","Southern","Atlantic Sun",6,1,7,0.142857142857143
"2016","Southern","Big South",13,4,17,0.235294117647059
"2016","Southern","Big Ten",6,0,6,0
"2016","Southern","MEAC",5,0,5,0
"2016","Southern","Ohio Valley",7,2,9,0.222222222222222
"2016","Southern","Southeastern",7,0,7,0
"2016","Southern","Sun Belt",5,1,6,0.166666666666667
"2016","Southland","ACC",5,0,5,0
"2016","Southland","American Athletic",8,0,8,0
"2016","Southland","Big 12",10,0,10,0
"2016","Southland","Big Ten",8,0,8,0
"2016","Southland","Big West",5,1,6,0.166666666666667
"2016","Southland","Conference USA",8,1,9,0.111111111111111
"2016","Southland","MEAC",4,2,6,0.333333333333333
"2016","Southland","Missouri Valley",5,0,5,0
"2016","Southland","Pac 12",7,0,7,0
"2016","Southland","Southeastern",6,0,6,0
"2016","Southland","Sun Belt",9,0,9,0
"2016","Summit League","Atlantic Sun",5,1,6,0.166666666666667
"2016","Summit League","Big 12",5,0,5,0
"2016","Summit League","Big Sky",11,4,15,0.266666666666667
"2016","Summit League","Big Ten",9,0,9,0
"2016","Summit League","Big West",5,1,6,0.166666666666667
"2016","Summit League","Horizon League",6,1,7,0.142857142857143
"2016","Summit League","Mid-American",5,1,6,0.166666666666667
"2016","Summit League","Missouri Valley",6,0,6,0
"2016","Summit League","Mountain West",6,0,6,0
"2016","Summit League","Ohio Valley",7,0,7,0
"2016","Summit League","Western Athletic",8,1,9,0.111111111111111
"2016","Sun Belt","American Athletic",5,1,6,0.166666666666667
"2016","Sun Belt","Big 12",5,0,5,0
"2016","Sun Belt","Conference USA",16,2,18,0.111111111111111
"2016","Sun Belt","Southeastern",7,0,7,0
"2016","Sun Belt","Southern",4,2,6,0.333333333333333
"2016","Sun Belt","Southland",9,0,9,0
"2016","SWAC","ACC",5,0,5,0
"2016","SWAC","American Athletic",7,1,8,0.125
"2016","SWAC","Big 12",7,0,7,0
"2016","SWAC","Big Ten",8,0,8,0
"2016","SWAC","Conference USA",8,2,10,0.2
"2016","SWAC","MEAC",5,1,6,0.166666666666667
"2016","SWAC","Mid-American",5,0,5,0
"2016","SWAC","Ohio Valley",8,1,9,0.111111111111111
"2016","SWAC","Western Athletic",6,1,7,0.142857142857143
"2016","West Coast","Big Sky",10,3,13,0.230769230769231
"2016","West Coast","Big West",18,5,23,0.217391304347826
"2016","West Coast","Missouri Valley",5,0,5,0
"2016","West Coast","Mountain West",11,3,14,0.214285714285714
"2016","West Coast","Pac 12",13,1,14,0.0714285714285714
"2016","Western Athletic","Big Sky",10,4,14,0.285714285714286
"2016","Western Athletic","Big Ten",5,0,5,0
"2016","Western Athletic","Big West",7,0,7,0
"2016","Western Athletic","Conference USA",4,2,6,0.333333333333333
"2016","Western Athletic","Mountain West",10,0,10,0
"2016","Western Athletic","Ohio Valley",5,1,6,0.166666666666667
"2016","Western Athletic","Summit League",6,3,9,0.333333333333333
"2016","Western Athletic","SWAC",6,1,7,0.142857142857143
